OPR	OPRNAVN
KQAG99A	Operation ved kroniske sår og fistler på hoved, anden
KQAG99B	Operation ved kroniske sår og fistler på hals, anden
KQAJ	Æstetiske operationer på hoved og hals
KQAJ00	Liposuction på hoved og hals
KQAJ00A	Liposuction på hoved
KQAJ00B	Liposuction på hals
KQAJ10	Løft af øjenbryn
KQAJ15	Løft af øjenbryn med video-endoskop
KQAJ20	Subperiostal ansigtsløftning
KQAJ25	Ansigtsløftning med video-endoskop
KQAJ99	Korrektion af hud på hoved og hals, anden æstetisk
KQB	Operationer på hud og subkutant væv på trunkus
KQBA	Incision af hud på trunkus
KQBA00	Punktur af hud på trunkus
KQBA10	Incision af hud på trunkus
KQBA10A	Drænanlæggelse i subkutant væv på abdomen
KQBA15	Incisio cystis pilonidalis
KQBA20	Dermabrasio eller shaving af hud på trunkus
KQBA30	Elektrokoagulation af hud på trunkus
KQBA40	Laser eller fotokoagulation af hud på trunkus
KQBA40A	Laserkoagulation af hud i genitalområdet, CO2-laser
KQBA40C	Laserkoagulation af hud på trunkus, CO2-laser
KQBA40D	Laserkoagulation af hud på trunkus, dye-laser
KQBA40E	Laserkoagulation af hud på trunkus, Ruby laser
KQBA40F	Laserkoagulation af hud på trunkus, diodelaser
KQBA50	Kryoterapi af hud på trunkus
KQBA99	Incision af hud på trunkus, anden
KQBB	Behandling af sår på trunkus
KQBB00	Sutur af hud på trunkus
KQBB10	Skiftning af sår på trunkus, større
KQBB20	Sårrevision, friskt sår, trunkus
KQBB30	Sårrevision, anden (ekskl. friskt sår), trunkus
KQBB99	Sårbehandling på trunkus, anden
KQBC	Fjernelse af fremmedlegme fra hud på trunkus
KQBC00	Fjernelse af fremmedlegeme fra subkutant væv på trunkus
KQBD	Behandling af forbrændinger på trunkus
KQBD00	Skiftning ved større forbrændinger på trunkus
KQBD10	Debridement af forbrændinger på trunkus
KQBD20	Excision af forbrænding på trunkus og dækning m heterograft
KQBD25	Excision af forbrænding på trunkus og dækning med allograft
KQBD30	Excision af forbrænding på trunkus og dækning med xenograft
KQBD35	Dækning af forbrænding på trunkus med syntetisk materiale
KQBE	Excisioner og korrektion af hud på trunkus
KQBE00	Excision af hud på trunkus
KQBE05	Excision af svedkirtler/hud med svedkirtler på trunkus
KQBE10	Excision af hudtumor på trunkus
KQBE10A	Excision af hudtumor, underhud, trunkus
KQBE10B	Excision af lipom på trunkus
KQBE15	Excisio cystis pilonidalis
KQBE20	Excision af ar på trunkus
KQBE25	Excision af ar på trunkus efter forbrænding
KQBE30	Excision af postoperativt ar på trunkus
KQBE35	Korrektion af huddefekt efter operation på trunkus
KQBE40	Korrektion af huddefekt efter hudsygdom/anomali på trunkus
KQBE50	Ekstern hudekstension, trunkus
KQBE99	Excision eller korrektion af hud på trunkus, anden
KQBG	Operationer ved kronisk sår og fistel til hud på trunkus
KQBG00	Debridement af dekubitus på trunkus
KQBG10	Excision og korrektion af dekubitus på trunkus
KQBG20	Operation for kronisk sår på trunkus
KQBG30	Sutur af incision på trunkus, forsinket
KQBG99	Op. for kronisk sår og fistel til hud på trunkus, anden
KQBJ	Æstetiske operationer på trunkus hud
KQBJ00	Liposuction på trunkus
KQBJ30	Korrektion af abdomen pendens
KQBJ99	Operation på trunkus, anden æstetisk
KQC	Operationer på hud og subkutant væv på overekstremitet
KQCA	Incision af hud på overekstremitet
KQCA00	Punktur af hud på overekstremitet
KQCA10	Incision af hud på overekstremitet
KQCA20	Dermabrasio eller shaving af hud på overekstremitet
KQCA30	Elektrokoagulation af hud på overekstremitet
KQCA40	Laser eller fotokoagulation af hud på overekstremitet
KQCA40C	Laserkoagulation af hud på overekstremitet, CO2-laser
KQCA40D	Laserkoagulation af hud på overekstremitet, dye-laser
KQCA40E	Laserkoagulation af hud på overekstremitet, Ruby laser
KQCA40F	Laserkoagulation af hud på overekstremitet, diodelaser
KQCA50	Kryoterapi af hud på overekstremitet
KQCA99	Incision af hud på overekstremitet, anden
KQCB	Behandling af sår på overekstremitet
KQCB00	Hudsutur på overekstremitet
KQCB10	Skiftning af større sår på overekstremitet
KQCB20	Sårrevision, friskt sår, overekstremitet
KQCB30	Sårrevision, anden (ekskl. friskt sår), overekstremitet
KQCB99	Sårbehandling på overekstremitet, anden
KQCC	Fjernelse af fremmedlegeme fra hud på overekstremitet
KQCC00	Fjernelse af fremmedlegeme fra subkutant væv på overekstr.
KQCD	Behandling af forbrændinger på overekstremitet
KQCD00	Skiftning ved større forbrændinger på overekstremitet
KQCD10	Debridement af forbrændinger på overekstremitet
KQCD20	Excision af forbrænding, overekstr. og dækning m heterograf
KQCD25	Excision af forbrænding, overekstr. og dæknimg m allograft
KQCD30	Excision af forbrænding, overekstr. og dækning med xenograf
KQCD35	Dækning af forbrænding på overekstr. med syntetisk material
KQCE	Excision og korrektion af hud på overekstremitet
KQCE00	Excision af hud på overekstremitet
KQCE05	Excision af svedkirtler/hud m svedkirtler på overekstremite
KQCE10	Excision af hudtumor på overekstremitet
KQCE10A	Excision af hudtumor, underhud, overekstremitet
KQCE10B	Excision af lipom på overekstremitet
KQCE20	Excision af ar på overekstremitet
KQCE25	Excision af ar på overekstremitet efter forbrænding
KQCE30	Excision af postoperativt ar på overekstremitet
KQCE35	Korrektion af huddefekt efter operation på overekstremitet
KQCE40	Korrektion af huddefekt efter hudsygdom/anomali på overekst
KQCE45	Operatio pro syndacylia, hånd
KQCE50	Ekstern hudekstension, overekstremitet
KQCE99	Excision eller korrektion af hud på overekstremitet, anden
KQCG	Op. ved kronisk sår og fistel til hud på overekstremitet
KQCG00	Debridement af dekubitus på overekstremitet
KQCG10	Excision og korrektion af dekubitus på overekstremitet
KQCG20	Operation for kronisk sår på overekstremitet
KQCG30	Sutur af incision på overekstremitet, forsinket
KQCG99	Op. for kronisk sår og fistel til hud på overekstr, anden
KQCH	Operationer på fingernegle
KQCH00	Fjernelse af fingernegl
KQCH10	Excision af negleseng (finger)
KQCH20	Korrektion af negledeformitet
KQCH30	Transplantation af negl til finger
KQCJ	Æstetiske operationer på overekstremitet
KQCJ00	Liposuction på overekstremitet
KQCJ99	Operation på overekstremitet, anden æstetisk
KQD	Operationer på hud og subkutant væv på underekstremitet
KQDA	Incision af hud på underekstremitet
KQDA00	Punktur af hud på underekstremitet
KQDA10	Incision af hud på underekstremitet
KQDA10A	Drænanlæggelse i subkutant væv på underekstremitet
KQDA20	Dermabrasio eller shaving af hud på underekstremitet
KQDA30	Elektrokoagulation af hud på underekstremitet
KQDA40	Laser eller fotokoagulation af hud på underekstremitet
KQDA40C	Laserkoagulation af hud på underekstremitet, CO2-laser
KQDA40D	Laserkoagulation af hud på underekstremitet, dye-laser
KQDA40E	Laserkoagulation af hud på underekstremitet, Ruby laser
KQDA40F	Laserkoagulation af hud på underekstremitet, diodelaser
KQDA50	Kryoterapi af hud på underekstremitet
KQDA99	Incision af hud på underekstremitet, anden
KQDB	Behandling af sår på underekstremitet
KQDB00	Sutur af hud på underekstremitet
KQDB10	Skiftning af større sår på underekstremitet
KQDB20	Sårrevision, friskt sår, underekstremitet
KQDB30	Sårrevision, anden (ekskl. friskt sår), underekstremitet
KQDB99	Sårbehandling på underekstremitet, anden
KQDC	Fjernelse af fremmedlegeme fra hud på underekstremitet
KQDC00	Fjernelse af fremmedlegeme fra subkutant væv på underekstr.
KQDD	Behandling af forbrændinger på underekstremitet
KQDD00	Skiftning ved større forbrændinger på underekstremitet
KQDD10	Debridement af forbrændinger på underekstremitet
KQDD20	Excision af forbrænding på underekstr, dækn. m heterograft
KQDD25	Excision af forbrænding på underekstr. og dækn. m allograft
KQDD30	Excision af forbrænding på underekstr, dækning m xenograft
KQDD35	Dækning af forbrænding på underekstr. m syntetisk materiale
KQDE	Excision og sutur af hud på underekstremitet
KQDE00	Excision af hud på underekstremitet
KQDE05	Excision af svedkirtler/hud m svedkirtler på underekstr.
KQDE10	Excision af hudtumor på underekstremitet
KQDE10A	Excision af hudtumor, underhud, underekstremitet
KQDE10B	Excision af lipom på underekstremitet
KQDE20	Excision af ar på underekstremitet
KQDE25	Excision af ar på underekstremitet efter forbrænding
KQDE30	Excision af postoperativt ar på underekstremitet
KQDE35	Korrektion af huddefekt efter operation på underekstremitet
KQDE40	Korrektion af huddefekt eft hudsygdom/anomali på underekstr
KQDE45	Operatio pro syndactylia, fod
KQDE50	Ekstern hudekstension, underekstremitet
KQDE99	Excision eller korrektion af hud på underekstremitet, anden
KQDG	Op. ved kronisk sår og fistel til hud på underekstremitet
KQDG00	Debridement af dekubitus på underekstremitet
KQDG10	Excision og korrektion af dekubitus på underekstremitet
KQDG20	Operation for kronisk sår på underekstremitet
KQDG30	Sutur af sår på underekstremitet, forsinket
KQDG99	Op. for kronisk sår og fistel til hud på underekstr, anden
KQDH	Operationer på tånegle
KQDH00	Fjernelse af tånegl
KQDH10	Excision af negleseng (tå)
KQDH20	Korrektion af deformitet af tånegl
KQDJ	Æstetiske operationer på underekstremitet
KQDJ00	Liposuction på underekstremitet
KQDJ99	Operation på underekstremitet, anden æstetisk
KQW	Reoperationer efter hudoperationer
KQWA	Sutur af sårruptur efter hudoperation
KQWA00	Sutur af sårruptur efter hudoperation
KQWB	Reoperation for sårinfektion efter hudoperation
KQWB00	Reoperation for sårinfektion efter hudoperation
KQWD	Reoperation for overfladisk blødning efter hudoperation
KQWD00	Reoperation for overfladisk blødning efter hudoperation
KQWF	Reop.for suturinsuffic. eft. plastikkirurgisk hudoperation
KQWF00	Reoperation for suturinsuff. efter plastikkir hudoperation
KQWW	Anden reoperation efter hudoperation
KQWW99	Reoperation efter hudoperation, anden
KT	Punkturer, punktionsbiopsier og mindre kirurg. operationer
KTA	Mindre neurokirurgiske operationer
KTAB	Mindre neurokirurgiske operationer, punkturer
KTAB00	Lumbalpunktur
KTAB10	Punctio suboccipitalis
KTAB20	Punctio epiduralis
KTAB30	Epidural blood-patch
KTAC	Mindre neurokirurgiske operationer, nerveblokade
KTAC10	Analgesia superficialis
KTAC15	Analgesia infiltrationis
KTAC20	Analgesia regionalis
KTAD	Mindre neurokirurgiske operationer, sympatikusblokade
KTAW	Mindre neurokirurgiske operationer, andre
KTAW99	Operation, anden mindre neurokirurgisk
KTB	Mindre kirurgiske operationer på endokrine organer
KTBA	Mindre operationer på endokrine organer, gl.thyroideae
KTBA00	Punktur af gl. thyreoidea
KTBA10	Nålebiopsi af gl. thyreoidea
KTBA20	Punctura cytologica thyreoideae
KTBA30	Perkutan sklerosering af cyste i gl. thyroidea
KTBB	Mindre operationer på endokrine organer, gll. parathyroid.
KTBB00	Punktur af gl. parathyreoidea
KTBB10	Nålebiopsi af gl. parathyreoidea
KTBC	Mindre operationer på endokrine organer, gll. suprarenal.
KTBC00	Nålebiopsi af gl. suprarenalis
KTBC10	Punctura cytologica glandulae suprarenalis
KTBW	Mindre operationer på endokrine organer, andre
KTBW99	Operation på endokrine organer, andet mindre kirurgisk
KTC	Mindre kirurgiske operationer i øjenregionen
KTCA	Mindre operationer i øjenregionen, orbita
KTCA00	Biopsia (punctura) orbitae
KTCA10	Punctura cytologica orbitae
KTCA15	Retrobulbær injektion af medikament i orbita
KTCA20	Peribulbær injektion af medikament i orbita
KTCB	Mindre operationer i øjenregionen, palpebra
KTCB00	Biopsia (punctura) palpebrae
KTCB10	Epilation af cilier
KTCB20	Injectio medicamentalis palpebrae
KTCB30	Fjernelse af ptosesutur
KTCC	Mindre operationer i øjenregionen, canal. lacrimalis
KTCC00	Biopsia (punctura) glandula lacrimalis
KTCC10	Sondering af tårekanal
KTCC20	Dilatatio canaliculi lacrimalis
KTCC30	Intubatio canalis lacrimalis
KTCE	Mindre operationer i øjenregionen, øjenmuskler
KTCE00	Injectio medicamentalis musculi oculi
KTCF	Mindre operationer i øjenregionen, konjunktiva
KTCF00	Subkonjunctival injektion af medikament
KTCG	Mindre operationer i øjenregionen, cornea og sclera
KTCG00	Behandling med bandagelinse
KTCG10	Fjernelse af corneasuturer
KTCG20	Laser suturlysis i cornea og sclera
KTCH	Mindre øjenoperationer, camera ant, iris, corp. ciliaris
KTCH10	Biopsia (punctura) camera anterior
KTCH20	Biopsia (punctura) iridis
KTCH30	Biopsia (punctura) corpus ciliare
KTCK	Mindre øjenoperationer, choroidea, corp. vitreum, retina
KTCK00	Fotosensitisering af choroidea og retina
KTCK10	Biopsia (punctura) chorioidea
KTCK20	Biopsia (punctura) corpus vitreum
KTCK30	Biopsia (punctura) retinae
KTCW	Mindre operationer i øjenregionen, andre
KTCW99	Operation på øjne, andet mindre
KTD	Mindre kirurg. operationer på øre, næse, hals og strubehoved
KTDA	Mindre op. på auris externa/canalis auditiva
KTDA00	Biopsia auris externa/canalis auditiva
KTDA10	Biopsia (punctura) auris externa/canalis auditiva
KTDB	Mindre op. på øregang
KTDB00	Fjernelse af fremmedlegeme fra øregang
KTDC	Mindre op. på øre, membrana tympani
KTDC00	Biopsia (punctura) membrana tympani
KTDH	Mindre op. på næse
KTDH00	Biopsia (punctura) nasi
KTDJ	Mindre op. på septum nasi
KTDJ00	Biopsia (punctura) septi nasi
KTDM	Mindre op. på sinus maxillaris
KTDM00	Biopsia (punctura) sinus maxillaris
KTDM10	Punctio sinus maxillaris
KTDN	Mindre op. på sinus et os ethmoidale
KTDN00	Biopsia (punctura) sinus et os ethmoidale
KTDP	Mindre op. på sinus frontalis og sphenoidalis
KTDP00	Biopsia (punctura) sinus frontalis
KTDP05	Punctio sinus frontalis
KTDP10	Biopsia (punctura) sinus sphenoidalis
KTDQ	Mindre op. på strubehoved
KTDQ00	Biopsia (punctura) laryngis
KTDW	Mindre op. på øre, næse, hals og strubehoved, andre
KTDW00	Operation på næse, øre og hals, anden mindre
KTE	Mindre kirurg. operationer på tænder, kæber, mund og svælg
KTEA	Mindre op. på læber
KTEA00	Biopsia labii
KTEA10	Nålebiopsi fra læbe
KTEB	Mindre op. på tænder
KTEB40	Drænage af odontogen abscess gennem tanden
KTEC	Mindre op. på slimhinder i mundhule
KTEC00	Nålebiopsi fra gingiva
KTED	Mindre op. på underkæbe
KTED00	Reposition af kæbeledsluksation, lukket
KTED10	Nålebiopsi fra underlæbe
KTEE	Mindre op. på overkæbe
KTEE00	Nålebiopsi fra overlæbe
KTEG	Mindre op. på kæbeled
KTEG00	Nålebiopsi fra kæbeled
KTEH	Mindre op. på ganer
KTEH00	Nålebiopsi fra ganen
KTEJ	Mindre op. på tunge og mundbund
KTEJ00	Nålebiopsi af tunge/mundbund
KTEL	Mindre op. på spytkirtler
KTEL00	Nålebiopsi af spytkirtel
KTEM	Mindre op. på tonsiller og adenoidt væv
KTEM00	Nålebiopsi af tonsiller/adenoidt væv
KTEN	Mindre op. på svælg
KTEN00	Nålebiopsi af svælg
KTEW	Mindre op. på tænder, kæber, mund og svælg, andre
KTEW99	Operation på tænder, kæber, mund og svælg, anden mindre
KTF	Mindre kirurg. opr. på hjertet og store intrathoracale kar
KTFC	Katheterisatio cordis
KTFC00	Hjertekateterisation, højresidig
KTFC10	Hjertekateterisation, venstresidig
KTFC10A	Hjertekateterisation, venstresidig, transseptal
KTFC10B	Hjertekateterisation, venstresidig, retrograd
KTFE	Mindre op. på hjertet, pericardie
KTFE00	Pericardiocentesis
KTFJ	Mindre op. på hjertet, punctio
KTFJ00	Punctio cordis
KTFP	Mindre op. på hjertet, pacemaker
KTFW	Mindre op. på hjertet og store intrathoracale kar, andre
KTFW99	Operation på hjertet og de store kar, anden mindre
KTG	Mindre kirurg. opr. på brystvæg, pleura, mediastinum, diafra
KTGA	Mindre op. på brystvæg og i brysthule
KTGA00	Nålebiopsi af toraksvæg
KTGA10	Nålebiopsi af pleura
KTGA20	Nålebiopsi af diafragma
KTGA30	Thoracocentesis
KTGA30A	Thoracocentesis, diagnostisk
KTGA30B	Thoracocentesis, terapeutisk
KTGA40	Pneumothorax artificialis ved sammenfaldet lunge
KTGB	Mindre op. på trachea
KTGB00	Nålebiopsi af trakea
KTGB10	Minitrakeostomi
KTGD	Mindre op. på lunger
KTGD00	Nålebiopsi af lunge
KTGE	Mindre op. på mediastinum
KTGE00	Nålebiopsi af mediastinum
KTGW	Mindre op. på brystvæg og i brysthule, andre
KTGW99	Operation på thorax, anden mindre
KTH	Mindre kirurgiske operationer på mammae
KTHA	Mindre op. på mammae, biopsia (punctura)
KTHA00	Nålebiopsi af papilla mammae
KTHA10	Nålebiopsi af mamma
KTHA10A	Stereotaktisk nålebiopsi af mammae
KTHA20	Anlæggelse af dræn i mamma
KTHA30	Punctur og aspiration af cyste i mamma
KTHW	Mindre operationer på mammae, andre
KTHW99	Operation på mamma, anden mindre
KTJ	Mindre kirurgiske operationer på fordøjelsesorganer
KTJA	Mindre op. på fordøjelsesorganer, peritoneum
KTJA00	Nålebiopsi/punktur af peritoneum
KTJA10	Laparocentesis, ascitespunktur
KTJA20	Peritoneal lavage, perkutan
KTJA30	Peritoneal dialyse kateter, anlæggelse af
KTJA32	Rettelse af peritoneal dialyse kateter
KTJA35	Peritoneal dialyse kateter, fjernelse af
KTJA40	Drænage af intraperitoneal absces, perkutan
KTJA50	Nålebiopsi af abdominalvæg
KTJC	Mindre op. på fordøjelsesorganer, oesophagus
KTJC32	Biopsi fra esofagus, endoskopisk
KTJD	Mindre op. på fordøjelsesorganer, ventrikel og duodenum
KTJD32	Biopsi fra ventrikel, endoskopisk
KTJD35	Biopsi fra duodenum, endoskopisk
KTJD40	Perkutan nålebiopsi af ventrikel
KTJF	Mindre op. på fordøjelsesorganer, tarm
KTJF20	Tyndtarmsbiopsi, peroral
KTJF25	Peroperativ tyndtarmsbiopsi, endoskopisk
KTJF30	Desinvagination af tarm under røntgenkontrol
KTJF40	Perkutan nålebiopsi af tarm
KTJG	Mindre op. på fordøjelsesorganer, tyktarm
KTJG40	Perkutan nålebiopsi af rektum
KTJJ	Mindre op. på fordøjelsesorganer, lever
KTJJ00	Perkutan nålebiopsi af leveren
KTJJ10	Leverdestruktion, perkutan
KTJK	Mindre op.på fordøjelsesorganer, galdeveje
KTJK00	Cholangiografi, peroperativ
KTJK01	Cholangiografi, laparoskopisk
KTJK32	Biopsi fra galdeveje, endoskopisk
KTJK40	Perkutan nålebiopsi af galdeveje
KTJL	Mindre op.på fordøjelsesorganer, pancreas
KTJL00	Perkutan nålebiopsi af pancreas
KTJL10	Perkutan drænage af pankreascyste/absces
KTJL32	Biopsi fra pankreas, endoskopisk
KTJM	Mindre op.på fordøjelsesorganer, milt
KTJM00	Nålebiopsi af milt
KTJW	Mindre operationer på fordøjelsesorganer, andre
KTJW99	Operation på fordøjelseskanalen, anden mindre
KTK	Mindre kirurg. opr. på urinveje, mandlige genitalia og retro
